Formula,sigma bond length_aPbO2,Cation sigma_aPbO2,DeltaH_aPbO2,sigma bond length_bad,Cation sigma_bad,DeltaH_bad,sigma bond length_rut,Cation sigma_rut,DeltaH_rut,rho_aPbO2,rho_bad,rho_rut,Min_rho,Min_Crystal_rho,Min_Crystal_DeltaH,Min_Crystal_sigma
"['Ce', 'Sn', 'V', 'Zr']",0.1238668292604521,0.0673107608649032,0.2373137895078985,0.1249034519873323,0.0697358167364363,0.2464382098248068,0.1024171250458512,0.0725703604338362,0.2755956894170994,2.7424469696837166,2.8456608107874017,3.1100412498498273,2.7424469696837166,aPbO2,aPbO2,aPbO2
"['Ge', 'Nb', 'Pt', 'Rh']",0.0659234422881403,0.0577781684898541,0.2880048402528263,0.0663274291991094,0.0546421264593019,0.293415450470567,0.0561687248878996,0.0706804964462726,0.2312475058955403,3.0358936201640367,3.049402879648865,2.74380066898081,2.74380066898081,rut,rut,bad
"['Hf', 'Ir', 'Ru', 'V']",0.0577979882309806,0.0685979325947421,0.2769902952962884,0.0581126654850427,0.0716536040014407,0.2802829747773945,0.0483684256379652,0.070988783777304,0.2307636387404503,3.070472580768297,3.1352188176550038,2.7446292463087736,2.7446292463087736,rut,rut,aPbO2
"['Hf', 'Ir', 'Ru', 'Ti']",0.0838208732947215,0.1164109463207172,0.6493488408715988,0.0843958054693078,0.0588513903570615,0.4825026468681157,0.0446129368934617,0.0553334913098772,0.2565144129914918,6.704089519239224,4.75113571676928,2.7462881666208148,2.7462881666208148,rut,rut,rut
"['Ir', 'Mn', 'Nb', 'Pb']",,,,0.1392337449818694,0.0945243454503261,0.1699748794348643,0.1164137633317515,0.0975736032732959,0.1801913106049326,,2.7471074501788064,2.861920909164325,2.7471074501788064,bad,bad,bad
"['Nb', 'Pb', 'Rh', 'Sn']",0.1024946414604291,0.0773321780629112,0.2193292924171848,0.103606672617238,0.080132309524262,0.2188398274266338,0.0914072851402076,0.0869645119717542,0.1943254745223823,2.7571065982074034,2.7979685135369445,2.750926363725479,2.750926363725479,rut,rut,aPbO2
"['Hf', 'Ir', 'Mn', 'Nb']",0.0876502570395933,0.0912637196686004,0.2515917805781349,0.0890533082945489,0.0864991395494709,0.2487045319377081,0.0733642552391566,0.0853468341486526,0.1988088800252576,3.2029892309401147,3.1078158909113576,2.75106257083153,2.75106257083153,rut,rut,rut
"['Ir', 'Mn', 'Nb', 'V']",,,,0.0933861947940376,0.0802874991351082,0.2119601652665421,0.0865487794047772,0.0955325863494798,0.1947546741647583,,2.753134636297725,2.9077168654430263,2.753134636297725,bad,rut,bad
"['Nb', 'Rh', 'Ru', 'V']",,,,0.0666067919435654,0.0458797265906677,0.2909439512091909,0.0616097314157193,0.0588131866771619,0.2532486533057119,,2.946077702161277,2.759730073579286,2.759730073579286,rut,rut,bad
"['Nb', 'Pb', 'Rh', 'Ru']",0.1171297882236248,0.0724461578959201,0.2528956059423404,0.122729552618357,0.0692318196741058,0.2361277322532675,0.107032651591681,0.0841432387410043,0.2222226529107285,2.932348608630023,2.759996419733564,2.885920110512782,2.759996419733564,bad,rut,bad
