Formula,sigma bond length_aPbO2,Cation sigma_aPbO2,DeltaH_aPbO2,sigma bond length_bad,Cation sigma_bad,DeltaH_bad,sigma bond length_rut,Cation sigma_rut,DeltaH_rut,rho_aPbO2,rho_bad,rho_rut,Min_rho,Min_Crystal_rho,Min_Crystal_DeltaH,Min_Crystal_sigma
"['Hf', 'Pb', 'Sn', 'Ti', 'Zr']",0.0988912160056062,0.0389689673370014,0.0800265472712162,0.0986657683254251,0.0378845939042439,0.0818549962331353,0.0744837437649956,0.0352100696951964,0.0672769472080567,1.1895683675507867,1.1810242981714496,1.0454632945389963,1.0454632945389963,rut,rut,rut
"['Hf', 'Pb', 'Pt', 'Sn', 'Zr']",0.071164975526688,0.0456689500653295,0.1082866674949293,,,,0.0555160042600826,0.0391646609513203,0.0830045448644519,1.4843487291749904,,1.211052841315592,1.211052841315592,rut,rut,rut
"['Hf', 'Pt', 'Sn', 'Ti', 'Zr']",0.0755948928159716,0.0457223642195316,0.1131485291162526,0.0747859758821487,0.0412310495296502,0.1121716736942083,0.0530732368698038,0.0421704053413459,0.0875880471402318,1.5170580949581618,1.4366826616082973,1.2932027738911482,1.2932027738911482,rut,rut,bad
"['Ir', 'Mn', 'Pt', 'Rh', 'Ru']",,,,,,,0.0303899604979563,0.0542688009893935,0.0201560066914844,,,1.295838837902227,1.295838837902227,rut,rut,rut
"['Hf', 'Pb', 'Pt', 'Sn', 'Ti']",,,,0.0869586757526143,0.0472841635901614,0.1303492228218545,0.0725418294422268,0.042645293264057,0.091462796371286,,1.65947222959181,1.3252759658846598,1.3252759658846598,rut,rut,rut
"['Hf', 'Pt', 'Rh', 'Sn', 'Ti']",0.0570007992387151,0.0424137603421733,0.1568395657084593,0.0560358654035913,0.0434827500229426,0.158685468265493,0.0467389205683243,0.0440744015265793,0.0978579238437035,1.784547157261336,1.8131403357607054,1.3902683379422844,1.3902683379422844,rut,rut,aPbO2
"['Hf', 'Mn', 'Sn', 'Ti', 'Zr']",0.0970239385755248,0.0541120973624533,0.098534783595803,0.0974625963362958,0.0534251722538091,0.0999107194929045,0.0720878189372777,0.0505665271643371,0.0780060535945573,1.579403219261691,1.5740102606533746,1.4021841139175681,1.4021841139175681,rut,rut,rut
"['Pb', 'Pt', 'Sn', 'Ti', 'Zr']",0.0954215986524369,0.047767476896546,0.1388152571813087,0.0958731742593487,0.0484646108837983,0.1260570776504856,0.0782088373021775,0.042591078125933,0.107309322353003,1.7267062751989617,1.6490409415374707,1.4258486531572157,1.4258486531572157,rut,rut,rut
"['Ge', 'Hf', 'Sn', 'Ti', 'Zr']",0.1020428172763205,0.0407424193014254,0.1200372887689432,0.0999407026436999,0.0410526989456947,0.1257042392826797,0.0714119547458328,0.0366937066801806,0.1210658257474669,1.4844676037141316,1.53012183851955,1.432029379121481,1.432029379121481,rut,aPbO2,rut
"['Hf', 'Mn', 'Pt', 'Sn', 'Ti']",0.0746806607579159,0.0531341175306713,0.1177928899921028,0.0745256370170113,0.0462834390477599,0.1177810480274757,0.0618818972099902,0.0517379428425763,0.0812127739310625,1.6749207935724217,1.5572779378050727,1.4416141004317133,1.4416141004317133,rut,rut,bad
"['Ge', 'Mn', 'Pt', 'Sn', 'Ti']",0.0713502088621473,0.0541858613494459,0.1366344752996355,0.0706491370226047,0.0534554266728979,0.1339766591269921,0.0587262217796451,0.0515034643473289,0.08306518586852,1.8147607212944656,1.7848588948039439,1.446279711307673,1.446279711307673,rut,rut,rut
"['Mn', 'Sn', 'Ti', 'V', 'Zr']",0.1130903710047991,0.0662801871896456,0.1007862858733737,0.1212067989397962,0.0612475090245637,0.0939301645327326,0.0940478457621148,0.0543907560032492,0.0731796773599164,1.830750606216216,1.695641415255413,1.4578653779491901,1.4578653779491901,rut,rut,rut
