Formula,sigma bond length_aPbO2,Cation sigma_aPbO2,DeltaH_aPbO2,sigma bond length_bad,Cation sigma_bad,DeltaH_bad,sigma bond length_rut,Cation sigma_rut,DeltaH_rut,rho_aPbO2,rho_bad,rho_rut,Min_rho,Min_Crystal_rho,Min_Crystal_DeltaH,Min_Crystal_sigma
"['Hf', 'Pt', 'Rh', 'Ti', 'Zr']",0.0675338535724788,0.0427070943513568,0.1689240424435119,0.068751682085431,0.0448860504132075,0.1679516471192123,0.0546137840488884,0.0431255800898228,0.1108023307941373,1.8834985672285307,1.9039465359239955,1.4581336833477305,1.4581336833477305,rut,rut,aPbO2
"['Hf', 'Pb', 'Pt', 'Ti', 'Zr']",0.096460163449451,0.0473648920308202,0.1262255680004678,0.0966124969100949,0.0499590500050266,0.1306841055977692,0.0771919900133546,0.044859675810757,0.106460812536347,1.6322703077575393,1.7049122064379811,1.4586472802472468,1.4586472802472468,rut,rut,rut
"['Ge', 'Hf', 'Pt', 'Rh', 'Ti']",0.0653615084358916,0.0441724456802673,0.1682104256369825,0.0659973265885599,0.0424921632707959,0.1652102450660464,0.0542434508900505,0.0436921144670234,0.1095583360185514,1.8966462084919244,1.8513051657504855,1.4592093136288466,1.4592093136288466,rut,rut,bad
"['Ge', 'Hf', 'Pt', 'Sn', 'Ti']",0.0749763998009687,0.0461559767945199,0.1495068655566825,0.0753013963595545,0.0472093149379179,0.1536770719039481,0.0592539708805765,0.0480790600276675,0.0993426311459955,1.7805541790463888,1.8268388508766729,1.471294293212413,1.471294293212413,rut,rut,aPbO2
"['Ge', 'Mn', 'Pt', 'Rh', 'Ru']",,,,,,,0.0367120861308125,0.0560544659207516,0.068539317383513,,,1.4729515074366497,1.4729515074366497,rut,rut,rut
"['Mn', 'Pt', 'Rh', 'Ru', 'Sn']",0.0474752298374296,0.0607705336890759,0.1104705821479491,0.0470098548225953,0.0568622000678255,0.1076995727755225,0.043404280194189,0.0577245741904168,0.0610070458645658,1.7727033799586631,1.6829639484794412,1.4795587957546874,1.4795587957546874,rut,rut,bad
"['Ge', 'Hf', 'Pb', 'Sn', 'Ti']",0.1144711061251456,0.0444305680498183,0.1510340471924806,0.1142318620875082,0.0431003467874333,0.1486657300730272,0.0950331731160489,0.0380897795932897,0.1255131485806529,1.7674449876488403,1.7308866518489234,1.4853231029880158,1.4853231029880158,rut,rut,rut
"['Ge', 'Pt', 'Rh', 'Sn', 'Ti']",0.0602265468404296,0.0387292896527547,0.1824861169396527,0.0608803328673881,0.0400792995200861,0.1879744140485527,0.053029554134048,0.0420285469447875,0.1173529514777797,1.9466308583404184,2.007235817875024,1.4854430788935185,1.4854430788935185,rut,rut,aPbO2
"['Mn', 'Pt', 'Sn', 'Ti', 'V']",0.0890391204570082,0.0627888991395552,0.1035235751169054,0.0916553525259184,0.0566772847895848,0.0960789930580958,0.073045245547519,0.0583771699952806,0.0599355522602465,1.7747720567165788,1.6157673053324082,1.4899255811148764,1.4899255811148764,rut,rut,bad
"['Hf', 'Rh', 'Sn', 'Ti', 'Zr']",0.0785885874318796,0.0395662102704027,0.1601438356068705,0.0786673292987588,0.0359411072759368,0.1637388115598263,0.0571558797766275,0.0410794596241346,0.1206941637201389,1.7740421247876013,1.76003915098825,1.4943394210233811,1.4943394210233811,rut,rut,bad
"['Ge', 'Mn', 'Rh', 'Ti', 'V']",,,,0.0729229258520053,0.0561146174796456,0.1586563023761598,0.0514643561197724,0.0504612679297223,0.0965414144095476,,1.997147200300817,1.4990095647640216,1.4990095647640216,rut,rut,rut
"['Ge', 'Pt', 'Sn', 'Ti', 'V']",,,,0.0741718700908031,0.044468550109436,0.1614929836707389,0.0609432236448956,0.0470385835194446,0.1082398404585646,,1.8481205292920218,1.5077255409511339,1.5077255409511339,rut,rut,bad
"['Ge', 'Mn', 'Pt', 'Ru', 'Ti']",,,,0.0580550633351629,0.0531597095372846,0.1455212920210009,0.0452245040236114,0.0543562952916303,0.0840737510643997,,1.8585507405066803,1.5083657282036276,1.5083657282036276,rut,rut,bad
"['Ge', 'Mn', 'Pt', 'Ti', 'V']",0.0767078408454176,0.0562796830870582,0.1212321543682577,0.0771544986350226,0.0569525313313175,0.1197480946757423,0.0623311087334419,0.0594590316229746,0.0585427129032552,1.7522181631386429,1.7552974355952313,1.5087658764684049,1.5087658764684049,rut,rut,aPbO2
"['Ge', 'Hf', 'Mn', 'Pt', 'Ti']",0.0736759503174024,0.0537722112110516,0.139046616638695,0.0755948540172772,0.0557561628898609,0.1383774886599475,0.0620577696571357,0.0516560749589431,0.0942672801856055,1.8241157447526932,1.852614093585933,1.5088511756588887,1.5088511756588887,rut,rut,rut
"['Ge', 'Mn', 'Pt', 'Rh', 'Ti']",0.0492560653234584,0.0513374917298047,0.1458156535924701,0.0487863353611168,0.0481223652697091,0.1469546969610803,0.0400736096423322,0.0535431940896032,0.0879944530623731,1.8318225655306226,1.7907332639565543,1.511962420412683,1.511962420412683,rut,rut,bad
"['Ge', 'Mn', 'Sn', 'Ti', 'V']",,,,0.0979683265887608,0.0583096176359055,0.121967336128462,0.0733347023500455,0.0581908884213711,0.0671523502576334,,1.7932934451603775,1.5129703458937558,1.5129703458937558,rut,rut,rut
"['Hf', 'Mn', 'Pt', 'Rh', 'Ti']",0.0593909254656948,0.0493219961318733,0.156923372421636,0.0599854197924077,0.0494921072640227,0.1516878949281647,0.0492031284644951,0.0492074015177264,0.1041451845825577,1.8816274679212197,1.8457111618165047,1.5207225440828458,1.5207225440828458,rut,rut,rut
"['Ir', 'Mn', 'Pt', 'Rh', 'Ti']",0.0433682217180278,0.0589180209046749,0.1204653724367972,,,,0.039837038613799,0.0587004150369005,0.0666277882815649,1.7953859989698633,,1.5218697989964163,1.5218697989964163,rut,rut,rut
"['Hf', 'Pt', 'Rh', 'Ti', 'V']",0.0702041356324174,0.0486399072016076,0.1619328347443129,0.0724957575480665,0.0513425925413816,0.1607351741097275,0.0562142374017091,0.049336070756427,0.1040064635600359,1.9091511755152903,1.9394230820474205,1.5222060790864032,1.5222060790864032,rut,rut,aPbO2
"['Hf', 'Mn', 'Pt', 'Rh', 'Ru']",0.0511362125450258,0.0546192005421361,0.1306300901265977,0.0514103065890784,0.0570711949242724,0.1306159825790608,0.0455643093972431,0.0531915952719719,0.0912785374400606,1.7825219508409371,1.8247894249066081,1.5222650063012018,1.5222650063012018,rut,rut,rut
"['Pb', 'Pt', 'Rh', 'Sn', 'Ti']",0.0851478974667969,0.0418180051004842,0.1647358460519584,0.0848671364924747,0.0483329808326919,0.1650687861454642,0.0767521532500009,0.044135597851687,0.1183275904370546,1.8389510574264496,1.9285148976003652,1.5258444319045872,1.5258444319045872,rut,rut,aPbO2
"['Ge', 'Hf', 'Mn', 'Sn', 'Ti']",0.0890884162524957,0.0537212216241665,0.1269765769261809,0.0883602313191056,0.0566755101605082,0.1279115660127033,0.0715692567528661,0.0552261846764782,0.0847791178703644,1.7434620858738243,1.8007655881994753,1.5293501672105243,1.5293501672105243,rut,rut,aPbO2
"['Hf', 'Mn', 'Ru', 'Sn', 'Ti']",0.0845561008449026,0.0539748842865059,0.1564209154127638,0.0835911842813899,0.0499440953834662,0.1468284957030448,0.0695515858544722,0.044911455430534,0.1178499447353033,1.9480049260672436,1.8174471332059863,1.5351697384864922,1.5351697384864922,rut,rut,rut
"['Pt', 'Rh', 'Sn', 'Ti', 'V']",0.0652866225009268,0.045152937073106,0.1584382568300824,0.0664202850760762,0.0422053882787789,0.1606581039421584,0.0566440113425076,0.0487255281794056,0.108172547174756,1.833881958569815,1.811701004401631,1.5369056579382125,1.5369056579382125,rut,rut,bad
"['Ir', 'Pt', 'Rh', 'Ru', 'V']",0.0403929562876604,0.0456392244283789,0.1370402453875819,,,,0.0394916514383816,0.0542969105960387,0.0918274342898293,1.6814245643520658,,1.546767372905411,1.546767372905411,rut,rut,aPbO2
"['Hf', 'Pt', 'Sn', 'Ti', 'V']",0.0777875179176511,0.0563495106109513,0.1334525493710018,0.0814938905458682,0.0524894170719409,0.1293232750599017,0.0616436302236142,0.0550314386216007,0.0895345277279076,1.8304638679547534,1.7378119333469053,1.5493305629627734,1.5493305629627734,rut,rut,bad
"['Hf', 'Pb', 'Sn', 'V', 'Zr']",0.1100853593697335,0.0574157979802754,0.0898305361590523,0.1091569795470589,0.0592935034713889,0.0930645378268785,0.0885328946324436,0.0542079543637597,0.0928455899142498,1.5983501726354585,1.6520997459434372,1.5504110509336455,1.5504110509336455,rut,aPbO2,rut
"['Pb', 'Sn', 'Ti', 'V', 'Zr']",0.1268801053227192,0.0529833521991956,0.1109693927910932,0.1303177422866829,0.055317656603462,0.1122860716846951,0.1068055536774214,0.0527822321320553,0.0986880925216034,1.630349146580101,1.6808185332075218,1.554953968964361,1.554953968964361,rut,rut,rut
"['Hf', 'Pt', 'Rh', 'Sn', 'V']",0.0623894681826897,0.049846817649823,0.1668823097782322,0.0648726756812503,0.0497996942997083,0.1667138547461163,0.0528519434342539,0.0462500995748288,0.1176032376580011,1.963534644426758,1.961597834728007,1.555532888366598,1.555532888366598,rut,rut,rut
"['Ge', 'Mn', 'Ru', 'Ti', 'V']",,,,0.0702481629689118,0.0495477147851122,0.1536269771656833,0.0530816717611013,0.0529924816154395,0.098725225615945,,1.8607020267472265,1.5591471250843874,1.5591471250843874,rut,rut,bad
"['Pt', 'Rh', 'Sn', 'Ti', 'Zr']",0.0682001765981374,0.0461077312783603,0.1797521201239497,0.0681532163947586,0.0443948951604007,0.1818540802195819,0.0525748555430084,0.0438985318091325,0.1238570769343958,2.0126635802848143,2.0079130048629947,1.560540657462547,1.560540657462547,rut,rut,rut
"['Ge', 'Mn', 'Sn', 'Ti', 'Zr']",0.1022290211833162,0.0621140660492267,0.1251757656863638,0.1021552018791759,0.0615328947531504,0.122317343253237,0.0796671294738065,0.0548363525304224,0.0924943481934512,1.8819722930047997,1.8544553382117122,1.5608441000181112,1.5608441000181112,rut,rut,rut
"['Hf', 'Mn', 'Pt', 'Ti', 'Zr']",0.0838820849766443,0.054175502406406,0.1209520398086887,0.0828985386669948,0.0505246153315738,0.1240698224616046,0.0676825136429412,0.0545684805635109,0.09400185239895,1.7130614883837991,1.6700417231684772,1.5635886419833882,1.5635886419833882,rut,rut,bad
"['Mn', 'Pt', 'Sn', 'Ti', 'Zr']",0.0832764253710203,0.0553193964304472,0.1205472547972839,0.0842777441472183,0.0552667412657682,0.1237690509901504,0.0693214399654934,0.0561982722731043,0.0886913485685362,1.7308363432696912,1.7499524048005592,1.5682838553011655,1.5682838553011655,rut,rut,bad
"['Ge', 'Mn', 'Rh', 'Ru', 'Ti']",,,,0.0514313976324196,0.0482029561562436,0.1630394489849585,0.0407733099061017,0.0538751874509527,0.0977852656026023,,1.911317014003135,1.5707306452975258,1.5707306452975258,rut,rut,bad
"['Ir', 'Mn', 'Rh', 'Ru', 'Ti']",0.0466243966736609,0.0534401142254871,0.1324640623041325,0.045647052567589,0.0556150631144727,0.1349927647188686,0.0425135182124053,0.059634090797027,0.0738244961901877,1.7745637220878427,1.8279429725234175,1.5707797707367235,1.5707797707367235,rut,rut,aPbO2
"['Hf', 'Mn', 'Nb', 'Sn', 'Ti']",0.1068468020577558,0.0554816034328314,0.09201476919837,0.1119135127221331,0.0641659032103855,0.1045910332044016,0.0943643339579937,0.0748645433390274,0.092061236459709,1.571020201815273,1.8074979662769588,1.9693865385895604,1.571020201815273,aPbO2,aPbO2,aPbO2
"['Ge', 'Mn', 'Pt', 'Ru', 'V']",0.0617671173142836,0.060020335335228,0.1288913146039242,0.064889844956876,0.0657516027579892,0.124058328820967,0.0491663794202818,0.0583596244101317,0.0800512838109249,1.8662372330597026,1.9433559932824407,1.5711133634562688,1.5711133634562688,rut,rut,rut
"['Ir', 'Pt', 'Rh', 'Ru', 'Ti']",0.0337726498681305,0.0473469246796852,0.1610991874960071,,,,0.0323441125180951,0.0505669857224699,0.1097427739363361,1.8846053776597247,,1.579376811103386,1.579376811103386,rut,rut,aPbO2
"['Hf', 'Mn', 'Pt', 'Sn', 'Zr']",0.0689115321700048,0.0571471117684785,0.1170029454834754,0.0692002958907889,0.0609370362157066,0.1188419150099726,0.0540427875164983,0.0578306864289539,0.0845376796262208,1.7423645822417684,1.823178651211403,1.5810046155056958,1.5810046155056958,rut,rut,aPbO2
"['Mn', 'Rh', 'Ru', 'Sn', 'V']",,,,0.0730044342295406,0.0620760259261677,0.1119989717500033,0.0670148761647423,0.0630549714452964,0.0563809606297155,,1.8061291912088504,1.581185752170955,1.581185752170955,rut,rut,bad
"['Hf', 'Pt', 'Rh', 'Ru', 'Ti']",0.0511796661424614,0.0472039602905931,0.1717729136509213,0.0516486466900524,0.0508555776102843,0.1757586510761264,0.0444983817760186,0.0471865379811093,0.1200403041745353,1.9644857294705802,2.0449442760537018,1.58740307344061,1.58740307344061,rut,rut,rut
"['Mn', 'Pt', 'Rh', 'Ru', 'Ti']",,,,,,,0.0401466990011225,0.0612629759617827,0.0698826595332327,,,1.589653611806041,1.589653611806041,rut,rut,rut
"['Hf', 'Mn', 'Nb', 'Ti', 'Zr']",0.1205669310983017,0.0570554220581995,0.0895345585162566,,,,0.1031459367680793,0.0780575410088882,0.1229400878432919,1.589654089557799,,2.1770454995965394,1.589654089557799,aPbO2,aPbO2,aPbO2
"['Ge', 'Ir', 'Pt', 'Rh', 'Ti']",0.0447813157477968,0.0468424024214898,0.1845171865457303,,,,0.041452342901416,0.0478397276972142,0.1193481826351387,2.0598078731890253,,1.5936718443557707,1.5936718443557707,rut,rut,aPbO2
"['Ge', 'Mn', 'Pt', 'Sn', 'V']",0.0847214326999504,0.0643626744964453,0.1085644083744512,0.0857956423312169,0.0631459697511967,0.1061332286614799,0.0689136931494653,0.0619225329542411,0.0691925468882288,1.832007096349327,1.795386795270561,1.6011934039717541,1.6011934039717541,rut,rut,rut
"['Ge', 'Hf', 'Pt', 'Sn', 'V']",0.0767434265196729,0.0509631271983192,0.1624187059946137,0.0771889695186351,0.0520981855514738,0.1658358796246204,0.0631197002733636,0.0510364950389511,0.1126921113734709,1.9462622394089357,1.9881284801916592,1.605992229783532,1.605992229783532,rut,rut,aPbO2
"['Ge', 'Mn', 'Pt', 'Rh', 'V']",0.068516589215844,0.0573491960600829,0.1314229359245672,0.0684006673794407,0.0600475881407005,0.1349680862471558,0.0563557798728954,0.0605043430737236,0.0785528160758673,1.8347619251787253,1.9044227759731183,1.6092111163802285,1.6092111163802285,rut,rut,aPbO2
"['Hf', 'Pb', 'Sn', 'Ti', 'V']",0.1212198428438541,0.0532485771611352,0.1161246231907242,0.1240614188135176,0.0598535771228114,0.1108397698270451,0.1004092606618373,0.055009677946318,0.1009266718869398,1.6665997992290784,1.7572733426155813,1.609801469723118,1.609801469723118,rut,rut,aPbO2
"['Mn', 'Rh', 'Ru', 'Sn', 'Ti']",0.0676050857829519,0.0554845841539014,0.148439320705279,0.0642517192963487,0.0522990245813981,0.1538946099430404,0.0562442462052992,0.056872264237971,0.0945137876727727,1.916034507471348,1.9041663112249942,1.6113993127325552,1.6113993127325552,rut,rut,bad
"['Ge', 'Mn', 'Rh', 'Ru', 'V']",0.0609236323438891,0.0568817877090308,0.1415422800549869,0.0584879652798855,0.059973292707939,0.1369316227021876,0.0485762833698653,0.0617963674293707,0.072598739770445,1.8924750012370588,1.915511777616273,1.611810028167036,1.611810028167036,rut,rut,aPbO2
"['Ir', 'Pt', 'Rh', 'Ti', 'V']",,,,,,,0.0433045982097699,0.053405952659788,0.10659586561883,,,1.6120671704548293,1.6120671704548293,rut,rut,rut
"['Mn', 'Pt', 'Ru', 'Sn', 'V']",0.073972489983649,0.0683740965602026,0.1055582850380332,0.0741494573542721,0.0643023557107459,0.1101092424715446,0.0617779809959205,0.0627368246435187,0.0688083902214828,1.8963811903257486,1.8389863036617897,1.6173297903443107,1.6173297903443107,rut,rut,rut
"['Hf', 'Pb', 'Pt', 'Sn', 'V']",0.1039239916064855,0.0666597774115594,0.1106041333714955,0.1034198047402379,0.0625992008412343,0.1172521228540347,0.0811730085590013,0.0585319732258008,0.0893577048573604,1.88780510953934,1.8453367791801145,1.618461750648135,1.618461750648135,rut,rut,rut
"['Hf', 'Pb', 'Pt', 'Rh', 'Sn']",0.0710725706866595,0.0420987673602232,0.158842439356917,0.0722384924899261,0.0442515537595177,0.172322306373016,0.0622429753989477,0.04426661669944,0.1314609588300726,1.7960548838178534,1.9301073477192112,1.620345384250864,1.620345384250864,rut,rut,aPbO2
"['Hf', 'Mn', 'Pt', 'Ti', 'V']",0.0902489362300258,0.0595045990512303,0.1152137933420448,0.0927587755227947,0.064569523057289,0.110203074470337,0.0741432246420411,0.0614156978858482,0.076792750411667,1.7755094219729706,1.844698722167065,1.6208987281997866,1.6208987281997866,rut,rut,aPbO2
"['Pb', 'Pt', 'Rh', 'Sn', 'V']",0.1008717646473926,0.0550606262734415,0.1331866761254204,0.104857672176325,0.0580953469603704,0.1373510606147917,0.0900527199534788,0.0557302061186389,0.1004867678026627,1.8067085971386352,1.885650036260508,1.621148860481386,1.621148860481386,rut,rut,aPbO2
"['Mn', 'Rh', 'Ru', 'Ti', 'V']",,,,0.0666320661610443,0.0552636945508565,0.1283416422892543,0.0508849015763842,0.0594602786469954,0.0860823012167145,,1.7788628375847586,1.621598997179699,1.621598997179699,rut,rut,bad
"['Ge', 'Ir', 'Mn', 'Rh', 'Ru']",,,,0.0418268210217165,0.0616901325885668,0.1371422656174054,0.0363711673219419,0.0609030539654646,0.079632934127779,,1.9470089007452567,1.6222566211187708,1.6222566211187708,rut,rut,rut
"['Hf', 'Sn', 'Ti', 'V', 'Zr']",0.1036546105672661,0.0483679502760293,0.1241603633731863,0.1037612542225399,0.0473245573805182,0.1257373355173534,0.0814141901968548,0.0522898830915268,0.1185697051104646,1.6346364881834625,1.628271715743793,1.6649266771364406,1.628271715743793,bad,rut,bad
"['Pt', 'Rh', 'Ru', 'Ti', 'V']",0.0557027368783555,0.0499646008007368,0.1676389179495146,0.0508824288899037,0.0486324516740252,0.1737900369660252,0.0436502273694161,0.0524978707539124,0.1130549128921274,1.970905247574618,1.9993465086175117,1.6342856559223102,1.6342856559223102,rut,rut,bad
"['Mn', 'Pb', 'Pt', 'Sn', 'V']",0.1189786914552945,0.0795402696882715,0.1003381615876548,0.1191701972110225,0.066435197979193,0.0931870994363521,0.10560431216165,0.0646746891061959,0.0617231030041097,2.1029686349536685,1.7978979581761172,1.6344772302712822,1.6344772302712822,rut,rut,rut
"['Ge', 'Hf', 'Pb', 'Sn', 'Zr']",0.1029252101962678,0.0452219809018239,0.1358204176013451,0.101366250906195,0.0428347130777126,0.139156435057847,0.0778173593895315,0.0418178064790206,0.1386224298589773,1.666291262044825,1.6554668835056876,1.6368842219982929,1.6368842219982929,rut,aPbO2,rut
"['Ge', 'Hf', 'Pt', 'Ti', 'Zr']",0.0918279186803246,0.0469973405819628,0.1532737626093428,0.090524414360526,0.0499661845859804,0.1564359221865579,0.0689022423258323,0.0484651944839115,0.124276644368377,1.820775314989635,1.8875023409543534,1.6370251963632316,1.6370251963632316,rut,rut,aPbO2
"['Pt', 'Rh', 'Ru', 'Sn', 'V']",0.0527947588145175,0.0477726096067471,0.1621127803308525,0.052257729263618,0.0451261807866005,0.1688903257525282,0.0478542282028935,0.0498568455368615,0.1207733761098211,1.8982556096274827,1.914446441229845,1.637095342955144,1.637095342955144,rut,rut,bad
"['Ge', 'Pt', 'Sn', 'Ti', 'Zr']",0.08575356868882,0.0468255503467772,0.1737593386606157,0.0863317104421743,0.0489832762984253,0.1738943414073695,0.0674109457932347,0.0458980890872525,0.1305184810240938,1.974893909310036,2.0049211464924523,1.6388108936723098,1.6388108936723098,rut,rut,rut
"['Ge', 'Hf', 'Pt', 'Ti', 'V']",0.0803103552946392,0.0538505024394293,0.1568839875111194,0.0804094929095216,0.0533651359947175,0.155932513320937,0.0604778334774175,0.0530953999896634,0.1121389596432465,1.9493854149359757,1.9351177175493715,1.6394526290928757,1.6394526290928757,rut,rut,rut
"['Ir', 'Mn', 'Rh', 'Ru', 'V']",0.0567532828375953,0.0602592982572377,0.0871526927960538,0.054817629557535,0.0678295717608841,0.0895217319154319,0.051283509634264,0.075390528632867,0.0416713987850648,1.6429834798177991,1.8103910836824044,1.823490455996245,1.6429834798177991,aPbO2,rut,aPbO2
"['Ge', 'Hf', 'Mn', 'Sn', 'Zr']",0.0936833359754944,0.0581747911181867,0.1392661935434937,0.0961913918280111,0.0634723092430165,0.1292979258991799,0.0751985817816991,0.0536920203362497,0.1109519570358394,1.8994205047484416,1.9313191384179784,1.6431292738415588,1.6431292738415588,rut,rut,rut
"['Mn', 'Pt', 'Rh', 'Ru', 'V']",,,,0.058886836512259,0.0637503018523365,0.0897327302598377,0.0513842137251257,0.0665530081849768,0.0512082562037086,,1.7266722870495501,1.644311378684732,1.644311378684732,rut,rut,bad
"['Pt', 'Sn', 'Ti', 'V', 'Zr']",0.0873693740538624,0.0503871000445092,0.1437330424140206,0.0890813567719784,0.0503638283846439,0.1474969851963969,0.0666736275500245,0.0532966972201818,0.1128758500404949,1.8022680135716778,1.828674060863554,1.6475602536980998,1.6475602536980998,rut,rut,bad
"['Hf', 'Mn', 'Pt', 'Sn', 'V']",0.0876951688184338,0.0700645805421547,0.107184725669569,0.087614103149855,0.0670562963374949,0.1068343773564947,0.0757032757459435,0.0652289138272611,0.062836062473184,1.9384303289604299,1.8763572409958222,1.650447140961937,1.650447140961937,rut,rut,rut
"['Mn', 'Pt', 'Ru', 'Ti', 'V']",0.0708029057092876,0.0566861593930838,0.1273659420510995,0.0708044987944672,0.066707528697195,0.1276378923848113,0.0574575224351821,0.0634547717263368,0.0739184615095183,1.7975208378556726,1.981705973810153,1.6525640339479886,1.6525640339479886,rut,rut,aPbO2
"['Hf', 'Mn', 'Rh', 'Ru', 'Ti']",0.0673657376277359,0.0497898911444908,0.1669314282528042,0.0683094571888594,0.0490700779155896,0.1571058743348267,0.0544418019283108,0.052540160861298,0.1161248770050015,1.9630989314938356,1.8793013881608864,1.6540093770410353,1.6540093770410353,rut,rut,bad
"['Pb', 'Pt', 'Sn', 'Ti', 'V']",0.1123937545361708,0.0529157075551196,0.1264892695893237,0.1096156660479536,0.0535172960494313,0.1377098590584054,0.0978009694633751,0.056568964637368,0.1035652174746175,1.7264946494939246,1.8108943747388004,1.654197638384916,1.654197638384916,rut,rut,aPbO2
"['Hf', 'Mn', 'Pt', 'Ru', 'Sn']",0.0613354127504751,0.0695156262001239,0.1432060450562112,0.0630617894652408,0.0653429888800394,0.1486503245452688,0.0519697426707932,0.0570730809220299,0.1020976635082711,2.1247174208513173,2.0835885071986797,1.6557698370479559,1.6557698370479559,rut,rut,rut
"['Ce', 'Hf', 'Pb', 'Sn', 'Zr']",0.08198014685154,0.0445425850856081,0.1392393305579609,0.0826390733077808,0.0441556049894159,0.1368478022904916,0.0592183118739971,0.0508960546193939,0.1513325865499148,1.6810345160226583,1.6577655103273223,1.8643334864836296,1.6577655103273223,bad,bad,bad
"['Hf', 'Mn', 'Sn', 'Ti', 'V']",0.10547851851396,0.0623086913210106,0.0976828263888947,0.1057289674416675,0.0706560642895894,0.1051239420255498,0.0882346487028534,0.062705350419511,0.0791014715461287,1.7355419553201674,1.9404021587730365,1.6578701559059001,1.6578701559059001,rut,rut,aPbO2
"['Ge', 'Ir', 'Pt', 'Rh', 'Ru']",0.0628374663782363,0.048249198598284,0.1790407778118485,,,,0.034554640790787,0.0488907562152741,0.1267778908046828,2.034926099029756,,1.6609158496637335,1.6609158496637335,rut,rut,aPbO2
"['Hf', 'Ir', 'Mn', 'Pt', 'Ti']",0.064915132930071,0.0685604305609756,0.1490580168565323,0.0677021253611677,0.0697548774281215,0.1506917274712613,0.0574074007325672,0.0587842488464842,0.0968426857776314,2.1430062141472095,2.1744124965906027,1.6611735252963296,1.6611735252963296,rut,rut,rut
